Date,Home Team,Home Score,Away Team,Away Score
2017-08-15,Ft. Zumwalt East,0,Ft. Zumwalt West,2
2017-08-15,Ft. Zumwalt North,1,Ft. Zumwalt West,1
2017-08-15,Ft. Zumwalt South,0,Ft. Zumwalt West,2
2017-08-17,Clearwater,2,Ellington,0
2017-08-17,Puxico,1,Ellington,1
2017-08-17,Greenville,2,Ellington,0
2017-08-17,Clearwater,2,Greenville,0
2017-08-17,Puxico,0,Greenville,2
2017-08-17,Herculaneum,0,Hillsboro,2
2017-08-17,Jefferson (Festus),0,Hillsboro,2
2017-08-17,Clearwater,1,Puxico,1
2017-08-18,Chamois,0,Belle,2
2017-08-18,Niangua,2,Bradleyville,0
2017-08-18,Sarcoxie,0,Bunceton,2
2017-08-18,Valley,2,Bunker,0
2017-08-18,Valley Park,2,Cardinal Ritter,0
2017-08-18,Hancock,2,Cleveland NJROTC,0
2017-08-18,Hazelwood West,0,Ft. Zumwalt South,2
2017-08-18,Bloomfield,2,Greenville,0
2017-08-18,Portageville,2,Holcomb,0
2017-08-18,Ladue Horton Watkins,2,Pattonville,0
2017-08-18,Zalma,2,South Iron,1
2017-08-18,Cor Jesu Academy,1,Villa Duchesne,1
2017-08-18,St. Joseph's Academy,2,Villa Duchesne,0
2017-08-18,Marquette,2,Washington,0
2017-08-18,Glendale,2,Waynesville,0
2017-08-18,Rockwood Summit,0,Webster Groves,2
2017-08-18,Battle,2,Wright City,1
2017-08-19,Rich Hill,0,Adrian,2
2017-08-19,Midway,2,Adrian,0
2017-08-19,Hazelwood Central,0,Affton,2
2017-08-19,Mehlville,2,Affton,0
2017-08-19,St. Pius X (Festus),2,Affton,0
2017-08-19,Clayton,0,Affton,2
2017-08-19,Windsor (Imperial),2,Affton,1
2017-08-19,Drexel,2,Archie,1
2017-08-19,Osceola,2,Archie,0
2017-08-19,Lakeland,1,Archie,2
2017-08-19,Hazelwood Central,2,Clayton,0
2017-08-19,Pacific,2,Clayton,0
2017-08-19,Windsor (Imperial),2,Clayton,0
